,x
1,0.000955967096829
2,0.000843329988969
3,0.00094116372582
4,0.001300934518902
5,0.000971198473103
6,0.000597955210847
7,0.000643388745887
8,0.001228569920923
9,0.000897415116393
10,0.000950815697805
11,0.000864850133778
12,0.000941169151924
13,0.000872968885787
14,0.000927946787669
15,0.000877520843929
16,0.000917636454809
17,0.000873832201506
18,0.000488658502117
19,0.000872717349192
20,0.000873638908104
21,0.00119909543204
22,0.000886272847079
23,0.000784080156651
24,0.001016442710956
25,0.000783902070295
26,0.00075066168223
27,0.000822444142681
28,0.000772402707354
29,0.000954813552841
30,0.000484289024217
31,0.00051999615472
32,0.000893309168179
33,0.000907559229407
34,0.000517616601353
35,0.001099981130731
36,0.000999997346199
37,0.000759512401133
38,0.000603580597231
39,0.000892859320517
40,0.000975107466159
41,0.001075622244718
42,0.001033690062116
43,0.000550600391529
44,0.001084620949266
45,0.000401770617965
46,0.000526488148214
47,0.000739657343302
48,0.000285932834211
49,0.000130440188892
50,0.000406719952284
51,0.000402607615167
52,0.001872975772745
53,0.000592574085821
54,0.000500381239682
55,0.000800220840855
56,0.000828237309371
57,0.000552849154871
58,0.00031060782875
59,0.00094342432419
60,0.000652665360481
61,0.00085254582429
62,0.001292411940343
63,0.000503478554077
64,0.00095434944125
65,0.000861237048236
66,0.000528255151216
67,0.000834374546793
68,0.001683095142728
69,0.000413423545516
70,0.000815323359157
71,0.002975559148963
72,0.002227805842289
73,0.00137222174045
74,0.003003929813854
75,0.000659477968515
76,0.000840030305126
77,0.000863987782826
78,0.000828993997955
79,0.001210882632635
80,0.000929496302977
81,0.000822360204411
82,0.000676464986692
83,0.000715461207513
84,0.00075825626936
85,0.000868304552969
86,0.000764394178451
87,0.000896692365451
88,0.001187685716178
89,0.000964069054915
90,0.001021761420904
91,0.001060201005838
92,630531918.774316
93,0.000934871611448
94,0.001000522429136
95,0.001422539272179
96,0.000481918160733
97,0.000807403290524
98,0.000444968506224
99,0.001421320185013
100,0.000553623158864
101,0.001547345490768
102,0.001856895657363
103,0.000494093169519
104,0.000449428362105
105,0.001682914357806
106,0.000951657583907
107,0.000660277137838
108,0.000771335541529
109,0.000885909490108
110,0.000551542777856
111,0.000661657880212
112,0.000519601274505
113,0.00036149068191
114,0.000967007703653
115,0.002254858687996
116,0.001022840140418
117,0.001214107092741
118,0.000809107207859
119,0.001014421116183
120,0.00085531791277
121,0.000688131122876
122,0.000580484014096
123,0.001173665754162
124,0.000500089612371
125,0.000686363627035
126,0.000969385620839
127,0.001209185926954
128,0.001070441372025
129,0.00130124955979
130,0.000659751387523
131,0.000912820389342
132,0.000946004355194
133,0.000970490593961
134,0.000910122308996
135,0.001051818270413
136,0.000947236467559
137,0.000948733481474
138,3.75216243241599
139,0.000917235682669
140,0.000706622098654
141,0.00083859472223
142,0.000839011968958
143,0.000994848254884
144,0.000722502156002
145,0.000885644746636
146,0.000732296399905
147,0.000645941096425
148,0.000630180620626
149,0.001014612458381
150,0.000577199868816
151,0.001341480476768
152,0.000593237593465
153,0.000567862937743
154,0.000606280882517
155,0.00048199548778
156,0.000561917670744
157,0.000562285406337
158,0.000471441960131
159,0.000425617633435
160,0.000387001542912
161,0.000558910980309
162,0.000503065488517
163,0.000595012599349
164,0.00043414610866
165,0.000513949346441
166,0.000525354996712
167,0.000595462307249
168,0.000570565870517
169,0.000613990156361
170,0.000561368860017
171,0.000623092190372
172,0.000527770155784
173,0.000662704063381
174,0.000573836128516
175,0.000613281461197
176,0.000743963388278
177,0.001382762435984
178,0.000716785888525
179,0.000858129872522
180,0.000636966268303
181,0.000895899896444
182,0.000627566150559
183,0.000567838794427
184,0.000605933211379
185,0.000837860349102
186,0.000631612285407
187,0.00071940806306
188,0.000725297322912
189,0.001095497491249
190,0.000460122074
191,0.000536917358085
192,0.000561895233334
193,0.000657348130752
194,0.000736906122755
195,0.000620934193338
196,0.000388095711207
197,0.000446783641753
198,0.000857876788006
199,0.000996586993828
200,0.000932628676523
201,0.000729400281339
202,0.001175462411201
203,0.000564628903296
204,0.000821984551784
205,0.000630252777414
206,0.001188529987822
207,0.000609202423729
208,0.000442619337415
209,0.000604335535731
210,0.000635822298209
211,0.000898648468041
212,0.000601113278178
213,0.000808555104121
214,0.000611108660267
215,0.000729911932584
216,0.000599678214239
217,0.001032834348995
218,0.000651585649521
219,0.000715881857923
220,0.000683558032475
221,0.0007112550308
222,0.000621430131489
223,0.000597104050848
224,0.00072601132085
225,0.00103819448343
226,0.000728809504686
227,0.000667884408837
228,0.000635164109028
229,0.000602436195381
230,0.000680000512021
231,0.000787868203692
232,0.000823031450671
233,0.000649713168938
234,0.000686116954707
235,0.000647917756551
236,0.000619073654143
237,0.000404971980895
238,0.000312485105424
239,0.001367733447637
240,0.00122426186849
241,0.000656309878212
242,0.000580951505101
243,0.0005514633194
244,0.001129054021033
245,0.001139281149991
246,0.000798809121228
247,0.000441469969845
248,0.000445234081171
249,0.000972477484829
250,0.001282437029844
251,0.000837931336178
252,0.000666603942898
253,0.00062528484913
254,0.000688393662036
255,0.000799165322426
256,0.001188535658957
257,0.000890650371011
258,0.000767623961637
259,0.000905683500043
260,0.000760505293007
261,0.000571954033271
262,0.000540552275966
263,0.000606191626998
264,0.000882413620127
265,0.000848600478313
266,0.00067518010179
267,0.000739444239925
268,0.00086448630775
269,0.000750105637043
270,0.000637885349218
271,0.000606293033643
272,0.001102673591594
273,0.001003116214285
274,0.000651469299126
275,0.000501025044491
276,0.00053591596112
277,0.000660339727978
278,0.000800731316841
279,0.000941526106543
280,0.000771225276625
281,0.0005902423016
282,0.000732003529612
283,0.000741083565928
284,0.000650639763707
285,0.000621458864327
286,0.000880895286152
287,0.00103275661282
288,0.000776251422982
289,0.000673320809786
290,0.000605788745169
291,0.000903678220143
292,0.000511075369183
293,0.000614618396365
294,2.48341466212393E-05
295,0.000570387859611
296,0.000496669783687
297,0.000584813460694
298,0.000557682197749
299,0.000757113823401
300,0.000511516583314
301,0.000588214951013
302,0.000522029672749
303,0.000614444665544
304,0.000473858363866
305,0.000628259770566
306,0.001189500152578
307,0.000630753407816
308,0.001226025531804
309,0.000577614237147
310,0.001059658084548
311,0.000712224775737
312,0.000987182918395
313,0.00103741253117
314,0.001018558525032
315,0.001010988750925
316,0.000713516289376
317,0.000729960088647
318,0.000856833141905
319,0.00056374947274
320,0.000685753049302
321,0.00059842256896
322,0.000602251133651
323,0.000632528139541
324,0.000498831975472
325,0.000574107903591
326,0.000505901773113
327,0.000558345957584
328,0.000486421389362
329,0.000639571510795
330,0.000454599307444
331,0.000576922658086
332,0.000414602230981
333,0.001324205271644
334,0.000937095894473
335,0.000525889960838
336,0.000674274337214
337,0.000537745602819
338,0.000669073468745
339,0.000695673883137
340,0.000620776272307
341,0.000558487366278
342,0.000556138520674
343,0.000638006560035
344,0.000730493236505
345,0.000588133401747
346,0.00065365086611
347,0.000595360731999
