"","x"
"1",NA
"2",0.000738123569767889
"3",0.000707234709663944
"4",0.000661409627284818
"5",0.000799637938343159
"6",0.000858548882910881
"7",0.000848135851324142
"8",0.0009219066326071
"9",0.000898734878543582
"10",0.00089364768520935
"11",0.000897007367220433
"12",0.000895113760500089
"13",0.000895278595798018
"14",0.000895150304820803
"15",0.000892266193641936
"16",0.000891672015870907
"17",0.000889174772934046
"18",0.000887190776082818
"19",0.000867655881470615
"20",0.000827621381589144
"21",0.000873198916259751
"22",0.000882610005799937
"23",0.00088266717137919
"24",0.000884835578810042
"25",0.000878004517201189
"26",0.000871567712191728
"27",0.000869799507309654
"28",0.000857685909186251
"29",0.000842103618529074
"30",0.000826544217187542
"31",0.000826626557086493
"32",0.0008313025961672
"33",0.000836498417568829
"34",0.000840516568294233
"35",0.000836951964916537
"36",0.00083671846943523
"37",0.000747862051514243
"38",0.00094206296206829
"39",0.000814455585758747
"40",0.00077828519153913
"41",0.000831564288415878
"42",0.000850108072794295
"43",0.00084681388608513
"44",0.000845004796630255
"45",0.000843673374285336
"46",0.000842412393775757
"47",0.000841678755052836
"48",0.000787745831425971
"49",0.000422418046353755
"50",0.000337207632761355
"51",0.000308266093639403
"52",0.000309866190793923
"53",0.000607102096192948
"54",0.000563756408355434
"55",0.000577810193433665
"56",0.000622670388276834
"57",0.000670320781602853
"58",0.000659133106389524
"59",0.000675747471567474
"60",0.000690318678126349
"61",0.000691405920207785
"62",0.000680524354712433
"63",0.00125517442069876
"64",0.000728935750242567
"65",0.000704123369921482
"66",0.000815354989190543
"67",0.00110359948438667
"68",0.000814437570870714
"69",0.000813056224057164
"70",0.000814575906047619
"71",0.000853047298908309
"72",0.000695282945586471
"73",0.000758524815261834
"74",0.000823070854457752
"75",0.00088619344092085
"76",0.00143161537192564
"77",0.000706797386635159
"78",0.00074325128963901
"79",0.000741396337370304
"80",0.000742501217867908
"81",0.000717825558233322
"82",0.000703288216640274
"83",0.000742930492612565
"84",0.000704144663802577
"85",0.000736099644899144
"86",0.000749872627393335
"87",0.000749611495129996
"88",0.000749685695563075
"89",0.00074923402309998
"90",0.000748910446458126
"91",0.00075245326708413
"92",0.000781885191413582
"93",0.000748314402023884
"94",0.000820176219651725
"95",0.00074638685102567
"96",0.000701538412257953
"97",0.000733580239736702
"98",0.000854611546655577
"99",0.000981750616396021
"100",0.000615700949648963
"101",0.000888566203464945
"102",0.00147270561896047
"103",0.00141409462908951
"104",0.00135138989862088
"105",0.00131525569137368
"106",0.00133613288039474
"107",0.00115840152705891
"108",0.0013690378191208
"109",0.00127287633527186
"110",0.0011788753190936
"111",0.000873033740970624
"112",0.000744149378306666
"113",0.00129854008305266
"114",0.00136100088675249
"115",0.00146656571905141
"116",0.00143980510603226
"117",0.00152102551439614
"118",0.00146530300447473
"119",0.00150956283607468
"120",0.00133264921024565
"121",0.00127205111383846
"122",0.00116993164097737
"123",0.0011663886812712
"124",0.00109513750329913
"125",0.00103960759186301
"126",0.00128917951486924
"127",0.00125462997356144
"128",0.00121661978137848
"129",0.00114294363441839
"130",0.00106537618753238
"131",0.00100180351494391
"132",0.000914158851383071
"133",0.00107181936396843
"134",0.00115921436465198
"135",0.00117026770600068
"136",0.00121088058354652
"137",0.00117319477906912
"138",0.00116324001227916
"139",0.00113548764654906
"140",0.00107460684888186
"141",0.00105273157976656
"142",0.00103742869468713
"143",0.000991470370710993
"144",0.00107662276313934
"145",0.00102302111286962
"146",0.000968919148134058
"147",0.000930786987061122
"148",0.00101106614802721
"149",0.000956673152202998
"150",0.000964143462125018
"151",0.000928997195378718
"152",0.000892572031110112
"153",0.00088560599954043
"154",0.000840442572464968
"155",0.000832726978406142
"156",0.000802817113654861
"157",0.000768517244466011
"158",0.00078035741926068
"159",0.000756153180822604
"160",0.00072612570366835
"161",0.000715456458277298
"162",0.000684934093402708
"163",0.000702218553112722
"164",0.000689675448501996
"165",0.000661329137332271
"166",0.000726017112852344
"167",0.000754517542971145
"168",0.000749815198582191
"169",0.000795601629783375
"170",0.000777541962591796
"171",0.000764821287304471
"172",0.000797740108912512
"173",0.000773310233431162
"174",0.000813875628922319
"175",0.000850280866309646
"176",0.000817469115653197
"177",0.000930591874103554
"178",0.000889436083900269
"179",0.000970679389629777
"180",0.000926747459306183
"181",0.000886914000620675
"182",0.000857202109381617
"183",0.000881412685702258
"184",0.000845876371970834
"185",0.000852546635766787
"186",0.000820537169800927
"187",0.000792690904086435
"188",0.000794688417732955
"189",0.000766896872606498
"190",0.000739745593972425
"191",0.000712900212761023
"192",0.000688750093030084
"193",0.000661967090202686
"194",0.000647780046540808
"195",0.000629034640068827
"196",0.000650722186018927
"197",0.000667160516150617
"198",0.000660160952616114
"199",0.000645538435539022
"200",0.000646703128831145
"201",0.00063936232922548
"202",0.000757128668211294
"203",0.000751888233185743
"204",0.000738009558198065
"205",0.000749463223275486
"206",0.000754670595191276
"207",0.000740517253755701
"208",0.000733774916652136
"209",0.000740916403937835
"210",0.000723144790136281
"211",0.000706090207957776
"212",0.000697712001922514
"213",0.000810751140660441
"214",0.000795549538126753
"215",0.000774151330938827
"216",0.000753330862896626
"217",0.000761010888959799
"218",0.000751525369962002
"219",0.000736763711258712
"220",0.000724680229460641
"221",0.000706542154074298
"222",0.000704623284835474
"223",0.000723813339708895
"224",0.000703751713797959
"225",0.000685507631545405
"226",0.000676697885124009
"227",0.000667069739146588
"228",0.000661137891976071
"229",0.000648472062970298
"230",0.000637705960044038
"231",0.00061730350184265
"232",0.000602192110696198
"233",0.000584016681743888
"234",0.000559796442090205
"235",0.000546287799585243
"236",0.000536079183292997
"237",0.000540395154314437
"238",0.000560147952111865
"239",0.000550958007921959
"240",0.000573443719040883
"241",0.000588181693025097
"242",0.000574454989039427
"243",0.000585711370828883
"244",0.000661731059175639
"245",0.000676643284671844
"246",0.000658845321378478
"247",0.00065561713112093
"248",0.000664809940004911
"249",0.000691973844177782
"250",0.000685100381138772
"251",0.000676991297364212
"252",0.000714329479403396
"253",0.000748197310841945
"254",0.000759421325117414
"255",0.000803290943135422
"256",0.000786438874978733
"257",0.000776752263304814
"258",0.00078622539387415
"259",0.000776577720385856
"260",0.000771466630192971
"261",0.000756877376114643
"262",0.000843180397016574
"263",0.000827294568329398
"264",0.000843953830862444
"265",0.000850836467236914
"266",0.000832001109316804
"267",0.000816158516152358
