"","x"
"1",NA
"2",0.000417420601444691
"3",0.000399633327510742
"4",0.000418257523734969
"5",0.000332592073397769
"6",0.000331809650544899
"7",0.000372613659570744
"8",0.000333251973781739
"9",0.000303188984534995
"10",0.000335447407156235
"11",0.000309462708452424
"12",0.000261303473801405
"13",0.000444503456318366
"14",0.000331867615177517
"15",0.000288012745293225
"16",0.000704206276586811
"17",0.000456686460895776
"18",0.000408501499139476
"19",0.000356393673403581
"20",0.00046912572890074
"21",0.000571088232296165
"22",0.000749530174108488
"23",0.000669704343044509
"24",0.000691277071898075
"25",0.000477291911630783
"26",0.000397080675040626
"27",0.000394090393015582
"28",0.000412130919975169
"29",0.000336351716986744
"30",0.000322662864405027
"31",0.000385411531863978
"32",0.000321769770877892
"33",0.000309876928455784
"34",0.000320640146529973
"35",0.000419324616885909
"36",0.000368680607388079
"37",0.000351072326511133
"38",0.00073488233115033
"39",0.000515268501916779
"40",0.000526804034286427
"41",0.000753971673244399
"42",0.000832780623841335
"43",0.000753485559434821
"44",0.000479600084502158
"45",0.000370039810665632
"46",0.000400647505651614
"47",0.000628376399968017
"48",0.000673741657411433
"49",0.000462002663036026
"50",0.000441864029140693
"51",0.000378268218498637
"52",0.00036507649099784
"53",0.000353441675061895
"54",0.000437543096727352
"55",0.000478729469470325
"56",0.000393339645071037
"57",0.000389959370664276
"58",0.000396374034214556
"59",0.000378583286017568
"60",0.000379573708762229
"61",0.000367668585155782
"62",0.000532284169660246
"63",0.000466453475413627
"64",0.000357758294600797
"65",0.000488598165231629
"66",0.000584433976037988
"67",0.00118139695482212
"68",0.0010595249331304
"69",0.000625948141708534
"70",0.000602466609137502
"71",0.000476634306578488
"72",0.000484558897731022
"73",0.000366189593155829
"74",0.000353387390174714
"75",0.000477653528006427
"76",0.000378150512565039
"77",0.000438580349512358
"78",0.00034696486258057
"79",0.000336687599428178
"80",0.000461472109770251
"81",0.000403991036771287
"82",0.000392080775853708
"83",0.00045898184458549
"84",0.00065830573843401
"85",0.000416708597830497
"86",0.00042627704478065
"87",0.000973365923593746
"88",0.00111037880253479
"89",0.00104177816667903
"90",0.000919098108989965
"91",0.000846682592794668
"92",0.00061178858558993
"93",0.000835902365299551
"94",0.00048852014847077
"95",0.000453773283046262
"96",0.000692006214043184
"97",0.000450590632704236
"98",0.00111303729390084
"99",0.00140782951086537
"100",0.00103709147790608
"101",0.000693168287250182
"102",0.00141430087435634
"103",0.000776697632195643
"104",0.000727315306449426
"105",0.000990795290936487
"106",0.000613944692585491
"107",0.000924055897609815
"108",0.000720245431506666
"109",0.000519435691346047
"110",0.000441034843056332
"111",0.000803596716879193
"112",0.000642234514305253
"113",0.00059518464152237
"114",0.00140113165032714
"115",0.00126962002948786
"116",0.000930626589458659
"117",0.00134227623109285
"118",0.000889957776335903
"119",0.00103637859275574
"120",0.000844715945541761
"121",0.000653610542886302
"122",0.000527778988088732
"123",0.000556549295926076
"124",0.000497439027610237
"125",0.000625029442776259
"126",0.000566141939657054
"127",0.000469798901769463
"128",0.000540990717933563
"129",0.000537577119032408
"130",0.000700950158919837
"131",0.00061933535265745
"132",0.000521650205987297
"133",0.000920856152141103
"134",0.000713416021291558
"135",0.000816662933959543
"136",0.000682084103594201
"137",0.000648512388402111
"138",0.000712583555557249
"139",0.000651308833150355
"140",0.00059753767447401
"141",0.000539942531905932
"142",0.000643228623722867
"143",0.000561825184827087
"144",0.00107463583272313
"145",0.00132824793124906
"146",0.000847186017875665
"147",0.000805416450063565
"148",0.00169419481774746
"149",0.00114644088174725
"150",0.00125602232066711
"151",0.000866133151180821
"152",0.00076910814568473
"153",0.000642263430712531
"154",0.000559244022847094
"155",0.000514204748060952
"156",0.000559694435397828
"157",0.000639661924788402
"158",0.00049763374593539
"159",0.00040113393863975
"160",0.00057341721963323
"161",0.00109378352051282
"162",0.000736911134497569
"163",0.000610842455330659
"164",0.000552924088194204
"165",0.000460181078283253
"166",0.000395817865233825
"167",0.000712557541375154
"168",0.00190235962668112
"169",0.00157681861806728
"170",0.00131220917737389
"171",0.0013505558861462
"172",0.000980193696178035
"173",0.00103834489278474
"174",0.000896685961037603
"175",0.000786968098891864
"176",0.000801819044189552
"177",0.000645452469035532
"178",0.000725007898780905
"179",0.00149799461278621
"180",0.00103744720443361
"181",0.00214307585359219
"182",0.00149200543904288
"183",0.00205198893531821
"184",0.0020090298663016
"185",0.00162031982574846
"186",0.0010211033857369
"187",0.00113686482747459
"188",0.0010532877940336
"189",0.000790632963699627
"190",0.000644837664447403
"191",0.00103135506392935
"192",0.000767546244664125
"193",0.000589387577758975
"194",0.000495680067244878
"195",0.000494597170385588
"196",0.000784429095218202
"197",0.000735470854321568
"198",0.000597485584009191
"199",0.000553713881878203
"200",0.000461650628491077
"201",0.000475916782439262
"202",0.000637001186142645
"203",0.000587432238429828
"204",0.000546051983610576
"205",0.000912159631216151
"206",0.000715935520175265
"207",0.000715337401895348
"208",0.000627942775404254
"209",0.000801604066771073
"210",0.000616915279606943
"211",0.000763500015601576
"212",0.000680268530415367
"213",0.000962607707871969
"214",0.000792904790127263
"215",0.000656266275541185
"216",0.000631074521458985
"217",0.000719825476457444
"218",0.000805361830308381
"219",0.000640635167600903
"220",0.000511870271868999
"221",0.000570797984684268
"222",0.000491431531920287
"223",0.000773569652140133
"224",0.000641750031869485
"225",0.000569575323478229
"226",0.000606828487448136
"227",0.000775225950950476
"228",0.000617836759301729
"229",0.00052548893681844
"230",0.000483109879810362
"231",0.000466746411312832
"232",0.000469647149330948
"233",0.000524501212861264
"234",0.000543141673023468
"235",0.000653988481375416
"236",0.000612387407762703
"237",0.000535752618766744
"238",0.000513676211568662
"239",0.0005861188927453
"240",0.000612651323523028
"241",0.000554871078010534
"242",0.000478334962848797
"243",0.000473421347489083
