,Volatility_Tin_True_train,Volatility_Tin_5_train_LSTM,Volatility_Tin_5_train_real_LSTM,Volatility_Tin_22_train_LSTM,Volatility_Tin_22_train_real_LSTM
2006-05-15,0.49983056976030293,0.5882298,0.647364368445952,0.6884065,0.6513315974742955
2006-05-16,0.4997502337048063,0.6574025,0.6561638382051759,0.68483484,0.6444056782456407
2006-05-17,0.5046215951880292,0.67862403,0.6564331999776327,0.67842156,0.6531271914516976
2006-05-18,0.504588178068447,0.6817764,0.664571729981958,0.6820333,0.6660197034418144
2006-05-19,0.5781279244633871,0.68613946,0.658379137426002,0.6894951,0.6575864895384292
2006-05-22,0.647364368445952,0.67994404,0.6355011870147999,0.6855793,0.6699167842434751
2006-05-23,0.6561638382051759,0.6588268,0.6637892575413558,0.69281244,0.6650541728944529
2006-05-24,0.6564331999776327,0.6808785,0.6702041623920318,0.6924323,0.6491085611268586
2006-05-25,0.664571729981958,0.6890117,0.653640422929903,0.68081367,0.5413655229674897
2006-05-26,0.658379137426002,0.67614245,0.655065587643914,0.5949756,0.5416441774400979
2006-05-29,0.6355011870147999,0.67667663,0.6490848098534253,0.5728635,0.5329076795758646
2006-05-30,0.6637892575413558,0.6703019,0.6499799643868184,0.5616213,0.5329716020508257
2006-05-31,0.6702041623920318,0.6706315,0.6531230563078222,0.55642587,0.46749235505800535
2006-06-01,0.653640422929903,0.6735982,0.6653212773324897,0.5053061,0.37682453659333537
2006-06-02,0.655065587643914,0.68427074,0.6649464920559313,0.4269096,0.381822927319014
2006-06-05,0.6490848098534253,0.68569005,0.6584109070561778,0.39673874,0.3768322668525588
2006-06-06,0.6499799643868184,0.6801859,0.6538598348530397,0.38789147,0.35784403867342185
2006-06-07,0.6531230563078222,0.6754015,0.6513315974742955,0.3727421,0.3754685217747462
2006-06-08,0.6653212773324897,0.6723585,0.6444056782456407,0.37836817,0.3677417830189792
2006-06-09,0.6649464920559313,0.66581917,0.6531271914516976,0.37867936,0.33383855672997303
2006-06-12,0.6584109070561778,0.67294574,0.6660197034418144,0.35635662,0.3240410836457645
2006-06-13,0.6538598348530397,0.6846441,0.6575864895384292,0.3386136,0.3213214535833632
2006-06-14,0.6513315974742955,0.67927396,0.6699167842434751,0.33043423,0.3153828628152316
2006-06-15,0.6444056782456407,0.68955743,0.6650541728944529,0.32483944,0.330157199468204
2006-06-16,0.6531271914516976,0.686224,0.6491085611268586,0.33400804,0.33840512687970004
2006-06-19,0.6660197034418144,0.67149365,0.5413655229674897,0.3467044,0.3263004734230598
2006-06-20,0.6575864895384292,0.5733715,0.5416441774400979,0.3449564,0.304754565339612
2006-06-21,0.6699167842434751,0.55557394,0.5329076795758646,0.32780284,0.260274848874221
2006-06-22,0.6650541728944529,0.54900026,0.5329716020508257,0.29370135,0.29941642441301214
2006-06-23,0.6491085611268586,0.5493621,0.46749235505800535,0.29886395,0.3422940435186715
2006-06-26,0.5413655229674897,0.49622813,0.37682453659333537,0.33640307,0.33866613835108406
2006-06-27,0.5416441774400979,0.40979344,0.381822927319014,0.35776427,0.33985995170160294
2006-06-28,0.5329076795758646,0.38784894,0.3768322668525588,0.36691776,0.3318900033213935
2006-06-29,0.5329716020508257,0.38169146,0.35784403867342185,0.36312708,0.30094346397570115
2006-06-30,0.46749235505800535,0.37151113,0.3754685217747462,0.33816585,0.3028181095713946
2006-07-03,0.37682453659333537,0.38828734,0.3677417830189792,0.32712945,0.29546484261491024
2006-07-04,0.381822927319014,0.3851431,0.33383855672997303,0.31714684,0.2953812879939751
2006-07-05,0.3768322668525588,0.3554569,0.3240410836457645,0.31322536,0.2947814489202148
2006-07-06,0.35784403867342185,0.33714247,0.3213214535833632,0.31233758,0.293173710645438
2006-07-07,0.3754685217747462,0.3306272,0.3153828628152316,0.3107851,0.3137043325801688
2006-07-10,0.3677417830189792,0.32616895,0.330157199468204,0.3254641,0.32260543323711954
2006-07-11,0.33383855672997303,0.34063247,0.33840512687970004,0.34118253,0.32361561614911794
2006-07-12,0.3240410836457645,0.35240078,0.3263004734230598,0.34890136,0.3260326640214833
2006-07-13,0.3213214535833632,0.3439263,0.304754565339612,0.35304752,0.34006345024429596
2006-07-14,0.3153828628152316,0.32211888,0.260274848874221,0.3646109,0.32472060125969854
2006-07-17,0.330157199468204,0.28086442,0.29941642441301214,0.35817435,0.3211225381089329
2006-07-18,0.33840512687970004,0.29693466,0.3422940435186715,0.35066295,0.3207540646181785
2006-07-19,0.3263004734230598,0.34354895,0.33866613835108406,0.3471844,0.30674184357753875
2006-07-20,0.304754565339612,0.35661513,0.33985995170160294,0.33597022,0.3064722265611985
2006-07-21,0.260274848874221,0.36087725,0.3318900033213935,0.33072767,0.3069682630612964
2006-07-24,0.29941642441301214,0.35008216,0.30094346397570115,0.328294,0.30118445159106766
2006-07-25,0.3422940435186715,0.31958595,0.3028181095713946,0.32314342,0.30303183835094366
2006-07-26,0.33866613835108406,0.31097084,0.29546484261491024,0.32259795,0.3027143174285602
2006-07-27,0.33985995170160294,0.30453053,0.2953812879939751,0.3226614,0.29193728127004326
2006-07-28,0.3318900033213935,0.3040256,0.2947814489202148,0.31532404,0.2803129893119921
2006-07-31,0.30094346397570115,0.30549493,0.293173710645438,0.30372447,0.31394846299203005
2006-08-01,0.3028181095713946,0.30395412,0.3137043325801688,0.3213154,0.3215320554321852
2006-08-02,0.29546484261491024,0.32264927,0.32260543323711954,0.33919734,0.32113799918932623
2006-08-03,0.2953812879939751,0.3360705,0.32361561614911794,0.34713864,0.28176793581101156
