,Volatility_Tin_True_train
2006-05-15,0.49983056976030293
2006-05-16,0.4997502337048063
2006-05-17,0.5046215951880292
2006-05-18,0.504588178068447
2006-05-19,0.5781279244633871
2006-05-22,0.647364368445952
2006-05-23,0.6561638382051759
2006-05-24,0.6564331999776327
2006-05-25,0.664571729981958
2006-05-26,0.658379137426002
2006-05-29,0.6355011870147999
2006-05-30,0.6637892575413558
2006-05-31,0.6702041623920318
2006-06-01,0.653640422929903
2006-06-02,0.655065587643914
2006-06-05,0.6490848098534253
2006-06-06,0.6499799643868184
2006-06-07,0.6531230563078222
2006-06-08,0.6653212773324897
2006-06-09,0.6649464920559313
2006-06-12,0.6584109070561778
2006-06-13,0.6538598348530397
2006-06-14,0.6513315974742955
2006-06-15,0.6444056782456407
2006-06-16,0.6531271914516976
2006-06-19,0.6660197034418144
2006-06-20,0.6575864895384292
2006-06-21,0.6699167842434751
2006-06-22,0.6650541728944529
2006-06-23,0.6491085611268586
2006-06-26,0.5413655229674897
2006-06-27,0.5416441774400979
2006-06-28,0.5329076795758646
2006-06-29,0.5329716020508257
2006-06-30,0.46749235505800535
2006-07-03,0.37682453659333537
2006-07-04,0.381822927319014
2006-07-05,0.3768322668525588
2006-07-06,0.35784403867342185
2006-07-07,0.3754685217747462
2006-07-10,0.3677417830189792
2006-07-11,0.33383855672997303
2006-07-12,0.3240410836457645
2006-07-13,0.3213214535833632
2006-07-14,0.3153828628152316
2006-07-17,0.330157199468204
2006-07-18,0.33840512687970004
2006-07-19,0.3263004734230598
2006-07-20,0.304754565339612
2006-07-21,0.260274848874221
2006-07-24,0.29941642441301214
2006-07-25,0.3422940435186715
2006-07-26,0.33866613835108406
2006-07-27,0.33985995170160294
2006-07-28,0.3318900033213935
2006-07-31,0.30094346397570115
2006-08-01,0.3028181095713946
2006-08-02,0.29546484261491024
2006-08-03,0.2953812879939751
2006-08-04,0.2947814489202148
2006-08-07,0.293173710645438
2006-08-08,0.3137043325801688
2006-08-09,0.32260543323711954
2006-08-10,0.32361561614911794
2006-08-11,0.3260326640214833
2006-08-14,0.34006345024429596
2006-08-16,0.32472060125969854
2006-08-17,0.3211225381089329
2006-08-18,0.3207540646181785
2006-08-21,0.30674184357753875
2006-08-22,0.3064722265611985
2006-08-23,0.3069682630612964
2006-08-24,0.30118445159106766
2006-08-25,0.30303183835094366
2006-08-28,0.3027143174285602
2006-08-29,0.29193728127004326
2006-08-30,0.2803129893119921
2006-08-31,0.31394846299203005
2006-09-01,0.3215320554321852
2006-09-04,0.32113799918932623
2006-09-05,0.28176793581101156
2006-09-06,0.23238093541233606
2006-09-07,0.23182692644587366
2006-09-08,0.22756385941615032
2006-09-11,0.2420077920816885
2006-09-12,0.2350362869825422
2006-09-13,0.22858942931606185
2006-09-14,0.22547626652453173
2006-09-15,0.2254634318907331
2006-09-18,0.2552927622482702
2006-09-19,0.27232204692781176
2006-09-20,0.2540315813932704
2006-09-21,0.24556454563869967
2006-09-22,0.25381664132523757
2006-09-25,0.2510253341727123
2006-09-26,0.23396848787539698
2006-09-27,0.23960237069989848
2006-09-28,0.24918220802426788
2006-09-29,0.24706243323309418
2006-10-03,0.25174409786912944
2006-10-04,0.28374443437516367
2006-10-05,0.2877989103820282
2006-10-06,0.2892504325484387
2006-10-09,0.28978885969607565
2006-10-10,0.2940685506401957
2006-10-11,0.2926009092274239
2006-10-12,0.3138747707186625
2006-10-13,0.3083835413263885
2006-10-16,0.30232484797780707
2006-10-17,0.31813833167975725
2006-10-18,0.412543895646597
2006-10-19,0.41623437070835867
2006-10-20,0.41593906086927535
2006-10-23,0.4415533754574633
2006-10-24,0.428415091205416
2006-10-25,0.4285168496547279
2006-10-26,0.42896366431400035
2006-10-27,0.4284004802047342
2006-10-30,0.4367871898506137
2006-10-31,0.4136160518721047
2006-11-01,0.4058809977931669
2006-11-02,0.4243896688465736
2006-11-03,0.44108844105871137
2006-11-06,0.43589679941546056
2006-11-07,0.43749420971944775
2006-11-08,0.4415216708389318
2006-11-09,0.4360409489010165
2006-11-10,0.42737689966989667
2006-11-13,0.43615240340214523
2006-11-14,0.43628237591718544
2006-11-15,0.44473212833490583
2006-11-16,0.4486867263223706
2006-11-17,0.4593961222484779
2006-11-20,0.46374938646165964
2006-11-21,0.46080407014304814
2006-11-22,0.45985195257219225
2006-11-23,0.4389536910604467
2006-11-24,0.4181566809056445
2006-11-27,0.4153404666624688
2006-11-28,0.4072422974900378
2006-11-29,0.31891560173280326
2006-11-30,0.3383489415682095
2006-12-01,0.33830529840698353
2006-12-04,0.30614350551032854
2006-12-05,0.30804308004970204
2006-12-06,0.30822336043511955
2006-12-07,0.3072335412194611
2006-12-08,0.32493045236643686
2006-12-11,0.33386382028490486
2006-12-12,0.36550291361767506
2006-12-13,0.36360207511197595
2006-12-14,0.33588119198455757
2006-12-15,0.32085490515124687
2006-12-18,0.3209594926355527
2006-12-19,0.31857631075611104
2006-12-20,0.3156801447426683
2006-12-21,0.3169257795687124
2006-12-22,0.3176223014209734
2006-12-26,0.30394149319539004
2006-12-27,0.30228390519845666
2006-12-28,0.26440891325600835
2006-12-29,0.25651434770444037
2007-01-01,0.22841718806121808
2007-01-02,0.25421980597216226
2007-01-03,0.3505349774697878
2007-01-04,0.35558790252486794
2007-01-05,0.3558185079183175
2007-01-08,0.3683490839209056
2007-01-09,0.39383686797571416
2007-01-10,0.42244715625873064
2007-01-11,0.4233143319199817
2007-01-12,0.4036875288262646
2007-01-15,0.40369101033754884
2007-01-16,0.40353890162332595
2007-01-17,0.4088204136361373
2007-01-18,0.4527554293602406
2007-01-19,0.4594253827657879
2007-01-22,0.45726979669358514
2007-01-23,0.46618298381422785
2007-01-24,0.4402264359017585
2007-01-25,0.4453199922654868
2007-01-29,0.4588075044668979
2007-01-30,0.4545389619073289
2007-01-31,0.45445002215259833
2007-02-01,0.4928636105010542
2007-02-02,0.49283203061827363
2007-02-05,0.4960742272582289
2007-02-06,0.508892668439237
2007-02-07,0.5093108111792803
2007-02-08,0.5002261806022072
2007-02-09,0.5076953295144303
2007-02-12,0.5184547391974429
2007-02-13,0.5188189324881001
2007-02-14,0.5089714712482332
2007-02-15,0.43944685913515735
2007-02-16,0.43466641166125897
2007-02-19,0.4344185135165235
2007-02-20,0.4080208807366441
2007-02-21,0.3702120178995111
2007-02-22,0.345206430202666
2007-02-23,0.38905687442924397
2007-02-26,0.378448845291397
2007-02-27,0.377389293413815
2007-02-28,0.3887188923886221
2007-03-01,0.38883393306380154
2007-03-02,0.3551834219551441
2007-03-05,0.35423990411456685
2007-03-06,0.34498621365632204
2007-03-07,0.32916985774625934
2007-03-08,0.32891760691854427
2007-03-09,0.32290439827474327
2007-03-12,0.30425231574488293
2007-03-13,0.30629806493225803
2007-03-14,0.3095042192182253
2007-03-15,0.25139940025705354
2007-03-16,0.2507217824551639
2007-03-19,0.24625893512974895
2007-03-20,0.23317934346043362
2007-03-21,0.2386965534056359
2007-03-22,0.2390135560959109
2007-03-23,0.22187647494294022
2007-03-26,0.2083533360317819
2007-03-27,0.21122032975945887
2007-03-28,0.20894632089255716
2007-03-29,0.37556960224092384
2007-03-30,0.38196079039478525
2007-04-02,0.38176851521915267
2007-04-03,0.3798976952396329
2007-04-04,0.3697576055824763
2007-04-05,0.3645440945369579
2007-04-06,0.3358357138665167
2007-04-09,0.3355419721815315
2007-04-10,0.3358091729823668
2007-04-11,0.3335184161761012
2007-04-12,0.33690521748725044
2007-04-13,0.3357102404904826
2007-04-16,0.33359213645733377
2007-04-17,0.3307044896754175
2007-04-18,0.323136452807932
2007-04-19,0.35304292010520444
2007-04-20,0.35420056075510487
2007-04-23,0.3595644201462115
2007-04-24,0.3641812039808846
2007-04-25,0.39391933481358155
2007-04-26,0.38766441723208667
2007-04-27,0.3857487954654871
2007-04-30,0.392096352902653
2007-05-01,0.41342227111176744
2007-05-02,0.415766464921542
2007-05-03,0.43368718138344864
2007-05-04,0.43884038341941833
2007-05-07,0.4386964838380166
2007-05-08,0.43243541127636576
2007-05-09,0.43691492504433915
2007-05-10,0.33180826411734
2007-05-11,0.33223676588980944
2007-05-14,0.3329819785732454
2007-05-15,0.3305136007217596
2007-05-16,0.32877871726844
2007-05-17,0.33295197789217146
2007-05-18,0.33445654607559516
2007-05-21,0.3397952431438432
2007-05-22,0.3376909419539859
2007-05-23,0.34805452686617827
2007-05-24,0.34990303492045305
2007-05-25,0.3557180944676238
2007-05-28,0.35580410335874724
2007-05-29,0.35791717991002847
2007-05-30,0.36265146148944705
2007-05-31,0.3334293575354746
2007-06-01,0.3340068667684418
2007-06-04,0.3274164088265237
2007-06-05,0.3240977683807082
2007-06-06,0.28484338530429787
2007-06-07,0.27558871764739296
2007-06-08,0.28177469847611614
2007-06-11,0.29387434855959593
2007-06-12,0.2729223368234633
2007-06-13,0.2754996274276109
2007-06-14,0.24823222683920348
2007-06-15,0.228921794641473
2007-06-18,0.23029086556532075
2007-06-19,0.23445943980841194
2007-06-20,0.2286916570875686
2007-06-21,0.18599056691791999
2007-06-22,0.17751366331229507
2007-06-25,0.18099828817880848
2007-06-26,0.1794568983485786
2007-06-27,0.18130407436232826
2007-06-28,0.17309126521858909
2007-06-29,0.16911904995937505
2007-07-02,0.16302186322035717
2007-07-03,0.17246333299711186
2007-07-04,0.15572132476845374
2007-07-05,0.15392283104321214
2007-07-06,0.15165182726996324
2007-07-09,0.1525921815613983
2007-07-10,0.14569207804531475
2007-07-11,0.13213062425959937
2007-07-12,0.13216707835409108
2007-07-13,0.12885295927228652
2007-07-16,0.12885221978714728
2007-07-17,0.12741225641892617
2007-07-18,0.18462242464571432
2007-07-19,0.28343543822429224
2007-07-20,0.2822707773320991
2007-07-23,0.26543516213455437
2007-07-24,0.262607784738547
2007-07-25,0.26110029300468407
2007-07-26,0.26128255794281224
2007-07-27,0.2674499682549239
