,Volatility_Copper_True_LSTM_GARCH_train,Volatility_Copper_3_train_GARCH_LSTM,Volatility_Copper_3_train_real_GARCH_LSTM
2006-05-15,0.360673463787912,0.38681865,0.46059132177243334
2006-05-16,0.3868612133720172,0.43025842,0.4555178708470978
2006-05-17,0.3909233219034205,0.44725624,0.5456239110909469
2006-05-18,0.46059132177243334,0.50503933,0.545129020863527
2006-05-19,0.4555178708470978,0.52803457,0.6688746195849158
2006-05-22,0.5456239110909469,0.6048771,0.72589859963746
2006-05-23,0.545129020863527,0.6661483,0.7266717583084926
2006-05-24,0.6688746195849158,0.691855,0.7285971929450658
2006-05-25,0.72589859963746,0.69761175,0.728059717035294
2006-05-26,0.7266717583084926,0.69757664,0.7427761004084168
2006-05-29,0.7285971929450658,0.7070355,0.7423391977159086
2006-05-30,0.728059717035294,0.7085747,0.7720843116704128
2006-05-31,0.7427761004084168,0.72828406,0.778182932422436
2006-06-01,0.7423391977159086,0.7359307,0.7776512042229005
2006-06-02,0.7720843116704128,0.73843455,0.7848477341794392
2006-06-05,0.778182932422436,0.74335146,0.7577519602971666
2006-06-06,0.7776512042229005,0.7267825,0.7940075289700729
2006-06-07,0.7848477341794392,0.7470156,0.7869174430915122
2006-06-08,0.7577519602971666,0.7451423,0.786021064683685
2006-06-09,0.7940075289700729,0.74623907,0.8265426235741188
2006-06-12,0.7869174430915122,0.77047825,0.828048716038859
2006-06-13,0.786021064683685,0.77653235,0.8257165138725348
2006-06-14,0.8265426235741188,0.7780428,0.8315388532962577
2006-06-15,0.828048716038859,0.78156006,0.8480563226937106
2006-06-16,0.8257165138725348,0.7921889,0.8393958759825156
2006-06-19,0.8315388532962577,0.78906995,0.8326365431190212
2006-06-20,0.8480563226937106,0.7849592,0.7870331155903002
2006-06-21,0.8393958759825156,0.7545413,0.8133949315407865
2006-06-22,0.8326365431190212,0.7659316,0.8202766124944777
2006-06-23,0.7870331155903002,0.770318,0.8221691920555976
2006-06-26,0.8133949315407865,0.7741184,0.8145195283953567
2006-06-27,0.8202766124944777,0.76992816,0.8180646236280656
2006-06-28,0.8221691920555976,0.7714664,0.7747140057228206
2006-06-29,0.8145195283953567,0.7436105,0.7758873980340835
2006-06-30,0.8180646236280656,0.7397615,0.6303959248899464
2006-07-03,0.7747140057228206,0.6426029,0.5887657443266504
2006-07-04,0.7758873980340835,0.58287024,0.6343309759843648
2006-07-05,0.6303959248899464,0.60888207,0.6275376013348367
2006-07-06,0.5887657443266504,0.6088053,0.6288670678138506
2006-07-07,0.6343309759843648,0.612485,0.6228325896245358
2006-07-10,0.6275376013348367,0.6081783,0.6227795880411782
2006-07-11,0.6288670678138506,0.60737467,0.5932423013603394
2006-07-12,0.6228325896245358,0.5874089,0.5832906876215206
2006-07-13,0.6227795880411782,0.57631284,0.5957631453748669
2006-07-14,0.5932423013603394,0.5807001,0.5840942547555908
2006-07-17,0.5832906876215206,0.57410145,0.5764347791400717
2006-07-18,0.5957631453748669,0.56830186,0.5643365781127021
2006-07-19,0.5840942547555908,0.55812013,0.5611957975900098
2006-07-20,0.5764347791400717,0.5534965,0.5626467319461429
2006-07-21,0.5643365781127021,0.5529178,0.49771749523554865
2006-07-24,0.5611957975900098,0.5098711,0.49734506907497156
2006-07-25,0.5626467319461429,0.49493867,0.46661092769371615
2006-07-26,0.49771749523554865,0.47234154,0.4636856277238388
2006-07-27,0.49734506907497156,0.46415406,0.42774062079155384
2006-07-28,0.46661092769371615,0.43762654,0.4280586502586714
2006-07-31,0.4636856277238388,0.42953548,0.42881427476199063
2006-08-01,0.42774062079155384,0.42763633,0.4294612574469576
2006-08-02,0.4280586502586714,0.42823777,0.4173608889487571
2006-08-03,0.42881427476199063,0.4204318,0.4086519990751002
2006-08-04,0.4294612574469576,0.41235676,0.3730413966024063
2006-08-07,0.4173608889487571,0.38595012,0.3680289828621385
2006-08-08,0.4086519990751002,0.37293735,0.37643882462942924
2006-08-09,0.3730413966024063,0.37480694,0.4042209612442369
2006-08-10,0.3680289828621385,0.3933739,0.4061024129016575
2006-08-11,0.37643882462942924,0.40217096,0.4116327857947224
2006-08-14,0.4042209612442369,0.40936193,0.43228491252200607
2006-08-16,0.4061024129016575,0.42395258,0.3714223158741743
2006-08-17,0.4116327857947224,0.38919833,0.37568420736595753
2006-08-18,0.43228491252200607,0.3769675,0.37486520373323795
2006-08-21,0.3714223158741743,0.3753013,0.36927911957902226
2006-08-22,0.37568420736595753,0.37194496,0.3693953142513904
2006-08-23,0.37486520373323795,0.3707288,0.36984142269706066
2006-08-24,0.36927911957902226,0.37040788,0.3661763950551815
2006-08-25,0.3693953142513904,0.3681194,0.35673151282505644
2006-08-28,0.36984142269706066,0.36116776,0.35732047346213036
2006-08-29,0.3661763950551815,0.35902062,0.3748658340521066
2006-08-30,0.35673151282505644,0.36929947,0.31865959940553246
2006-08-31,0.35732047346213036,0.33719903,0.3039308588474092
2006-09-01,0.3748658340521066,0.31253353,0.326599595362548
2006-09-04,0.31865959940553246,0.32056046,0.3229466027685476
2006-09-05,0.3039308588474092,0.3224514,0.32576231372552145
2006-09-06,0.326599595362548,0.32621473,0.33428962831281117
2006-09-07,0.3229466027685476,0.33183727,0.3597721286883224
2006-09-08,0.32576231372552145,0.3498809,0.3607656389180226
2006-09-11,0.33428962831281117,0.35817215,0.3584556455671184
2006-09-12,0.3597721286883224,0.35998887,0.35854366215527766
2006-09-13,0.3607656389180226,0.3596568,0.35402828388708585
2006-09-14,0.3584556455671184,0.35646677,0.34600298107053196
