,Volatility_Copper_True_train
2006-05-15,0.360673463787912
2006-05-16,0.3868612133720172
2006-05-17,0.3909233219034205
2006-05-18,0.46059132177243334
2006-05-19,0.4555178708470978
2006-05-22,0.5456239110909469
2006-05-23,0.545129020863527
2006-05-24,0.6688746195849158
2006-05-25,0.72589859963746
2006-05-26,0.7266717583084926
2006-05-29,0.7285971929450658
2006-05-30,0.728059717035294
2006-05-31,0.7427761004084168
2006-06-01,0.7423391977159086
2006-06-02,0.7720843116704128
2006-06-05,0.778182932422436
2006-06-06,0.7776512042229005
2006-06-07,0.7848477341794392
2006-06-08,0.7577519602971666
2006-06-09,0.7940075289700729
2006-06-12,0.7869174430915122
2006-06-13,0.786021064683685
2006-06-14,0.8265426235741188
2006-06-15,0.828048716038859
2006-06-16,0.8257165138725348
2006-06-19,0.8315388532962577
2006-06-20,0.8480563226937106
2006-06-21,0.8393958759825156
2006-06-22,0.8326365431190212
2006-06-23,0.7870331155903002
2006-06-26,0.8133949315407865
2006-06-27,0.8202766124944777
2006-06-28,0.8221691920555976
2006-06-29,0.8145195283953567
2006-06-30,0.8180646236280656
2006-07-03,0.7747140057228206
2006-07-04,0.7758873980340835
2006-07-05,0.6303959248899464
2006-07-06,0.5887657443266504
2006-07-07,0.6343309759843648
2006-07-10,0.6275376013348367
2006-07-11,0.6288670678138506
2006-07-12,0.6228325896245358
2006-07-13,0.6227795880411782
2006-07-14,0.5932423013603394
2006-07-17,0.5832906876215206
2006-07-18,0.5957631453748669
2006-07-19,0.5840942547555908
2006-07-20,0.5764347791400717
2006-07-21,0.5643365781127021
2006-07-24,0.5611957975900098
2006-07-25,0.5626467319461429
2006-07-26,0.49771749523554865
2006-07-27,0.49734506907497156
2006-07-28,0.46661092769371615
2006-07-31,0.4636856277238388
2006-08-01,0.42774062079155384
2006-08-02,0.4280586502586714
2006-08-03,0.42881427476199063
2006-08-04,0.4294612574469576
2006-08-07,0.4173608889487571
2006-08-08,0.4086519990751002
2006-08-09,0.3730413966024063
2006-08-10,0.3680289828621385
2006-08-11,0.37643882462942924
2006-08-14,0.4042209612442369
2006-08-16,0.4061024129016575
2006-08-17,0.4116327857947224
2006-08-18,0.43228491252200607
2006-08-21,0.3714223158741743
2006-08-22,0.37568420736595753
2006-08-23,0.37486520373323795
2006-08-24,0.36927911957902226
2006-08-25,0.3693953142513904
2006-08-28,0.36984142269706066
2006-08-29,0.3661763950551815
2006-08-30,0.35673151282505644
2006-08-31,0.35732047346213036
2006-09-01,0.3748658340521066
2006-09-04,0.31865959940553246
2006-09-05,0.3039308588474092
2006-09-06,0.326599595362548
2006-09-07,0.3229466027685476
2006-09-08,0.32576231372552145
2006-09-11,0.33428962831281117
2006-09-12,0.3597721286883224
2006-09-13,0.3607656389180226
2006-09-14,0.3584556455671184
2006-09-15,0.35854366215527766
2006-09-18,0.35402828388708585
2006-09-19,0.34600298107053196
2006-09-20,0.3472334932435749
2006-09-21,0.3471714344215113
2006-09-22,0.3329222583496736
2006-09-25,0.3234916662408309
2006-09-26,0.29306491082114494
2006-09-27,0.2889126275021132
2006-09-28,0.2839885299424256
2006-09-29,0.26320500071365716
2006-10-03,0.2508394536218763
2006-10-04,0.281840384081374
2006-10-05,0.29408198874148994
2006-10-06,0.31546557654196605
2006-10-09,0.32682396018056714
2006-10-10,0.3279483301935794
2006-10-11,0.3292357367495923
2006-10-12,0.3246206833821341
2006-10-13,0.32551595812381273
2006-10-16,0.30530613605122714
2006-10-17,0.35041206562752547
2006-10-18,0.36325483539445047
2006-10-19,0.3316434575167021
2006-10-20,0.3270498327570075
2006-10-23,0.3282375262444315
2006-10-24,0.3219206452042024
2006-10-25,0.2884189958900517
2006-10-26,0.2860294840432571
2006-10-27,0.2861983253312461
2006-10-30,0.28584084535172316
2006-10-31,0.2838195928383759
2006-11-01,0.2622699616838061
2006-11-02,0.28286512717577306
2006-11-03,0.2894445746661095
2006-11-06,0.2867602230257523
2006-11-07,0.28679406056827383
2006-11-08,0.2886827333181802
2006-11-09,0.31611160831210317
2006-11-10,0.3246086136401549
2006-11-13,0.4110439014324694
2006-11-14,0.41225632788917077
2006-11-15,0.3836152156471214
2006-11-16,0.37288584804524927
2006-11-17,0.35932489900334275
2006-11-20,0.3453426105901225
2006-11-21,0.342052404405883
2006-11-22,0.35929987887076964
2006-11-23,0.35611418269815953
2006-11-24,0.355508036628543
2006-11-27,0.35418144731188894
2006-11-28,0.3159053243479495
2006-11-29,0.3077089491961458
2006-11-30,0.3076527017284657
2006-12-01,0.3143841924294337
2006-12-04,0.3122607108495633
2006-12-05,0.3123724639660188
2006-12-06,0.3241663715799601
2006-12-07,0.3370516740312296
2006-12-08,0.3398215169155736
2006-12-11,0.34068371684217347
2006-12-12,0.3395943638952892
2006-12-13,0.34086979041043786
2006-12-14,0.3276817941507295
2006-12-15,0.32275544128478517
2006-12-18,0.32287853594631344
2006-12-19,0.3230483095656679
2006-12-20,0.3205425923752757
2006-12-21,0.3032406259216861
2006-12-22,0.2992951864958663
2006-12-26,0.181974003097204
2006-12-27,0.18275607820567816
2006-12-28,0.18196125847028652
2006-12-29,0.1815257307900944
2007-01-01,0.17612901970015435
2007-01-02,0.17575241802451483
2007-01-03,0.17486447644748962
2007-01-04,0.28746062693994123
2007-01-05,0.2895773829754733
2007-01-08,0.2989605509284189
2007-01-09,0.2989002032944805
2007-01-10,0.28879652169638237
2007-01-11,0.3376919572213184
2007-01-12,0.33803418828440157
2007-01-15,0.33209358617905327
2007-01-16,0.33159731974995865
2007-01-17,0.33095789058351177
2007-01-18,0.314148974726997
2007-01-19,0.3167032588530828
2007-01-22,0.32339194844589525
2007-01-23,0.32383037219078503
2007-01-24,0.3302263326643181
2007-01-25,0.33463186703206826
2007-01-29,0.33804093535563695
2007-01-30,0.352806153469588
2007-01-31,0.3553659862087808
2007-02-01,0.35802214800325916
2007-02-02,0.3647044716297405
2007-02-05,0.3843670936049277
2007-02-06,0.3802725769339296
2007-02-07,0.4055581738535593
2007-02-08,0.4055297818914676
2007-02-09,0.4020428824691964
2007-02-12,0.4183880971624271
2007-02-13,0.41892707750721525
2007-02-14,0.4532999481237975
2007-02-15,0.45310163662750313
2007-02-16,0.3736376062043488
2007-02-19,0.3699389673372979
2007-02-20,0.35389213989875634
2007-02-21,0.36162982497931573
2007-02-22,0.37075988413645633
2007-02-23,0.3702004080359249
2007-02-26,0.3818428613624788
2007-02-27,0.3727499653518559
2007-02-28,0.3781707425709052
2007-03-01,0.38734060540951676
2007-03-02,0.38708179407727394
2007-03-05,0.37372983127894344
2007-03-06,0.3743136908229633
2007-03-07,0.3784175254657731
2007-03-08,0.3827290546012252
2007-03-09,0.3855339042239234
2007-03-12,0.3933468954004208
2007-03-13,0.3730889786577205
2007-03-14,0.375462203346394
2007-03-15,0.3744610458302189
2007-03-16,0.4025338853286069
2007-03-19,0.35584724861305117
2007-03-20,0.35402066817178723
2007-03-21,0.34196668763549987
2007-03-22,0.33803652652323046
2007-03-23,0.3393474982942766
2007-03-26,0.3333439721043937
2007-03-27,0.3266429894676016
2007-03-28,0.321575837205183
2007-03-29,0.322026742481764
2007-03-30,0.309671708286576
2007-04-02,0.31250116016555196
2007-04-03,0.3122351025473249
2007-04-04,0.3105942048367961
2007-04-05,0.3052156315940513
2007-04-06,0.27776653269169493
2007-04-09,0.26783951925931615
2007-04-10,0.28267443241582835
2007-04-11,0.27063905847354164
2007-04-12,0.25060302111523625
2007-04-13,0.2719820796872182
2007-04-16,0.25822771272687217
2007-04-17,0.2577796391343059
2007-04-18,0.2620417540037937
2007-04-19,0.264786664955471
2007-04-20,0.2641793872833923
2007-04-23,0.2461258105179245
2007-04-24,0.2419286209245902
2007-04-25,0.2567833290420686
2007-04-26,0.2600745870778496
2007-04-27,0.2318348797642286
2007-04-30,0.23522339604048423
2007-05-01,0.23767305592886437
2007-05-02,0.24453461971114684
2007-05-03,0.2375021959780043
2007-05-04,0.23871428445920204
2007-05-07,0.23818034820895465
2007-05-08,0.24638665309110705
2007-05-09,0.22455305965914832
2007-05-10,0.22689345698032967
2007-05-11,0.249057786570517
2007-05-14,0.24630015646966694
2007-05-15,0.2849733077559543
2007-05-16,0.2663397856911002
2007-05-17,0.28475018226714166
2007-05-18,0.3069289663693471
2007-05-21,0.3085339412589163
2007-05-22,0.2925209759800582
2007-05-23,0.30366719665989095
2007-05-24,0.2948276783945337
2007-05-25,0.3090641136101363
2007-05-28,0.3547173462607327
2007-05-29,0.35456251787859694
2007-05-30,0.3391296178838934
2007-05-31,0.3382250465416604
2007-06-01,0.3591246026266919
2007-06-04,0.3585050943419539
2007-06-05,0.3653761872964757
2007-06-06,0.3575111807001923
2007-06-07,0.35869291304586526
2007-06-08,0.3411614382791034
2007-06-11,0.3485194813587075
2007-06-12,0.3615134643401605
2007-06-13,0.36062662592633843
2007-06-14,0.36459340475596314
2007-06-15,0.36586241443312617
2007-06-18,0.3691795439201163
2007-06-19,0.36539070905286686
2007-06-20,0.3641216998609289
2007-06-21,0.37057728019128133
2007-06-22,0.3597740264799125
2007-06-25,0.35209964305018737
2007-06-26,0.3251806089500533
2007-06-27,0.3303483206684996
2007-06-28,0.3140742290664502
2007-06-29,0.29467926686822776
2007-07-02,0.29429206396155616
2007-07-03,0.2955804681438534
2007-07-04,0.2766632551718351
2007-07-05,0.27592661855258827
2007-07-06,0.2405305579825057
2007-07-09,0.1960798218510281
2007-07-10,0.19681072774934336
2007-07-11,0.19659534703233203
2007-07-12,0.1963557494187331
2007-07-13,0.18021393689360418
2007-07-16,0.18030909828025335
2007-07-17,0.17809206027616245
2007-07-18,0.17737363618780352
2007-07-19,0.17309438086290727
2007-07-20,0.18959710073357092
2007-07-23,0.16378784129919352
2007-07-24,0.1523556769070694
2007-07-25,0.13478992067955878
2007-07-26,0.14263608009923853
2007-07-27,0.13341072166870308
2007-07-30,0.1335595502764139
2007-07-31,0.13644156684939104
2007-08-01,0.1381411216789085
2007-08-02,0.1394616074261356
2007-08-03,0.1343732350472169
2007-08-06,0.15986306359169603
2007-08-07,0.15862528678609542
2007-08-08,0.14414958328907126
2007-08-09,0.14581080459884013
2007-08-10,0.15908334966762475
2007-08-13,0.1596671963421201
2007-08-14,0.16289602083401858
2007-08-16,0.18460539204764467
2007-08-17,0.2816028068651064
2007-08-20,0.30135366422273335
2007-08-21,0.3022740362891819
2007-08-22,0.30194339649812707
2007-08-23,0.31198800291769
2007-08-24,0.31616658972657485
2007-08-27,0.3359588173767044
