,Volatility_Copper_True_train,Volatility_Copper_5_train_LSTM,Volatility_Copper_5_train_real_LSTM,Volatility_Copper_22_train_LSTM,Volatility_Copper_22_train_real_LSTM
25-08-2006,0.369395314,0.11621262,0.374865834,0.13093856,0.293064911
28-08-2006,0.369841423,0.11926894,0.318659599,0.13070664,0.288912628
29-08-2006,0.366176395,0.11788628,0.303930859,0.12939598,0.28398853
30-08-2006,0.356731513,0.11665858,0.326599595,0.12820208,0.263205001
31-08-2006,0.357320473,0.1164578,0.322946603,0.1272395,0.250839454
01-09-2006,0.374865834,0.116579816,0.325762314,0.12637964,0.281840384
04-09-2006,0.318659599,0.116885826,0.334289628,0.12562835,0.294081989
05-09-2006,0.303930859,0.115789115,0.359772129,0.12461176,0.315465577
06-09-2006,0.326599595,0.11619868,0.360765639,0.12337886,0.32682396
07-09-2006,0.322946603,0.118807174,0.358455646,0.12205901,0.32794833
08-09-2006,0.325762314,0.12651679,0.358543662,0.120654486,0.329235737
11-09-2006,0.334289628,0.1279892,0.354028284,0.119305946,0.324620683
12-09-2006,0.359772129,0.1375975,0.346002981,0.11796655,0.325515958
13-09-2006,0.360765639,0.1353276,0.347233493,0.116616085,0.305306136
14-09-2006,0.358455646,0.13445088,0.347171434,0.11549421,0.350412066
15-09-2006,0.358543662,0.13428475,0.332922258,0.11445036,0.363254835
18-09-2006,0.354028284,0.1348637,0.323491666,0.11335132,0.331643458
19-09-2006,0.346002981,0.13451424,0.293064911,0.11290207,0.327049833
20-09-2006,0.347233493,0.13368466,0.288912628,0.112784445,0.328237526
21-09-2006,0.347171434,0.13293739,0.28398853,0.11268411,0.321920645
22-09-2006,0.332922258,0.13147137,0.263205001,0.11247377,0.288418996
25-09-2006,0.323491666,0.12501179,0.250839454,0.111559674,0.286029484
26-09-2006,0.293064911,0.12127836,0.281840384,0.11005895,0.286198325
27-09-2006,0.288912628,0.120442465,0.294081989,0.108122766,0.285840845
28-09-2006,0.28398853,0.12976114,0.315465577,0.1057201,0.283819593
29-09-2006,0.263205001,0.12740171,0.32682396,0.103458464,0.262269962
03-10-2006,0.250839454,0.12468777,0.32794833,0.10142939,0.282865127
04-10-2006,0.281840384,0.123437904,0.329235737,0.09963487,0.289444575
05-10-2006,0.294081989,0.11811912,0.324620683,0.09841789,0.286760223
06-10-2006,0.315465577,0.11873432,0.325515958,0.09765257,0.286794061
09-10-2006,0.32682396,0.11720972,0.305306136,0.097146794,0.288682733
10-10-2006,0.32794833,0.113328435,0.350412066,0.09714736,0.316111608
11-10-2006,0.329235737,0.11345192,0.363254835,0.09736536,0.324608614
12-10-2006,0.324620683,0.11338953,0.331643458,0.096975185,0.411043901
13-10-2006,0.325515958,0.11364932,0.327049833,0.09610798,0.412256328
16-10-2006,0.305306136,0.1140912,0.328237526,0.094924286,0.383615216
17-10-2006,0.350412066,0.11399879,0.321920645,0.09371891,0.372885848
18-10-2006,0.363254835,0.114198126,0.288418996,0.09261705,0.359324899
19-10-2006,0.331643458,0.11691125,0.286029484,0.0916219,0.345342611
20-10-2006,0.327049833,0.116991565,0.286198325,0.09101312,0.342052404
23-10-2006,0.328237526,0.11297764,0.285840845,0.09050584,0.359299879
24-10-2006,0.321920645,0.11175287,0.283819593,0.09011166,0.356114183
25-10-2006,0.288418996,0.10749543,0.262269962,0.08994455,0.355508037
26-10-2006,0.286029484,0.10741323,0.282865127,0.090053335,0.354181447
27-10-2006,0.286198325,0.10767645,0.289444575,0.09028783,0.315905324
30-10-2006,0.285840845,0.10804027,0.286760223,0.090575114,0.307708949
31-10-2006,0.283819593,0.108596206,0.286794061,0.090983346,0.307652702
01-11-2006,0.262269962,0.10935773,0.288682733,0.091178015,0.314384192
02-11-2006,0.282865127,0.10943158,0.316111608,0.09093989,0.312260711
03-11-2006,0.289444575,0.1096292,0.324608614,0.09036401,0.312372464
06-11-2006,0.286760223,0.10948501,0.411043901,0.090512305,0.324166372
07-11-2006,0.286794061,0.1092603,0.412256328,0.09112385,0.337051674
08-11-2006,0.288682733,0.10889187,0.383615216,0.09192953,0.339821517
09-11-2006,0.316111608,0.10856044,0.372885848,0.09295573,0.340683717
10-11-2006,0.324608614,0.10720949,0.359324899,0.09404799,0.339594364
13-11-2006,0.411043901,0.10739157,0.345342611,0.094985485,0.34086979
14-11-2006,0.412256328,0.1074574,0.342052404,0.095604755,0.327681794
15-11-2006,0.383615216,0.10772872,0.359299879,0.0960304,0.322755441
16-11-2006,0.372885848,0.10770017,0.356114183,0.09587307,0.322878536
17-11-2006,0.359324899,0.10759852,0.355508037,0.09535603,0.32304831
20-11-2006,0.345342611,0.10773711,0.354181447,0.09497104,0.320542592
21-11-2006,0.342052404,0.10796589,0.315905324,0.09471836,0.303240626
22-11-2006,0.359299879,0.10809008,0.307708949,0.09459637,0.299295186
23-11-2006,0.356114183,0.10836005,0.307652702,0.09455512,0.181974003
24-11-2006,0.355508037,0.10848653,0.314384192,0.09451817,0.182756078
27-11-2006,0.354181447,0.10828105,0.312260711,0.09473545,0.181961258
28-11-2006,0.315905324,0.10792999,0.312372464,0.09504785,0.181525731
29-11-2006,0.307708949,0.10797278,0.324166372,0.09532966,0.17612902
30-11-2006,0.307652702,0.107628,0.337051674,0.095526695,0.175752418
01-12-2006,0.314384192,0.10790108,0.339821517,0.09563887,0.174864476
04-12-2006,0.312260711,0.10837053,0.340683717,0.0959061,0.287460627
05-12-2006,0.312372464,0.11110155,0.339594364,0.09629211,0.289577383
06-12-2006,0.324166372,0.1104392,0.34086979,0.096382424,0.298960551
07-12-2006,0.337051674,0.110254206,0.327681794,0.09625097,0.298900203
08-12-2006,0.339821517,0.11010168,0.322755441,0.09599669,0.288796522
11-12-2006,0.340683717,0.109825395,0.322878536,0.09568963,0.337691957
12-12-2006,0.339594364,0.10910586,0.32304831,0.0952951,0.338034188
13-12-2006,0.34086979,0.1085649,0.320542592,0.094848394,0.332093586
14-12-2006,0.327681794,0.10879223,0.303240626,0.09441519,0.33159732
15-12-2006,0.322755441,0.10877742,0.299295186,0.09407784,0.330957891
18-12-2006,0.322878536,0.10889609,0.181974003,0.09409317,0.314148975
19-12-2006,0.32304831,0.10906114,0.182756078,0.09433346,0.316703259
20-12-2006,0.320542592,0.10923859,0.181961258,0.09473832,0.323391948
21-12-2006,0.303240626,0.10937029,0.181525731,0.095590375,0.323830372
22-12-2006,0.299295186,0.10934534,0.17612902,0.09682629,0.330226333
26-12-2006,0.181974003,0.109374285,0.175752418,0.0981807,0.334631867
27-12-2006,0.182756078,0.110067345,0.174864476,0.09958869,0.338040935
28-12-2006,0.181961258,0.10958029,0.287460627,0.10078736,0.352806153
29-12-2006,0.181525731,0.1096529,0.289577383,0.10178176,0.355365986
01-01-2007,0.17612902,0.10964128,0.298960551,0.10259037,0.358022148
02-01-2007,0.175752418,0.10952358,0.298900203,0.103262566,0.364704472
03-01-2007,0.174864476,0.109655775,0.288796522,0.103787005,0.384367094
04-01-2007,0.287460627,0.109558366,0.337691957,0.104088165,0.380272577
05-01-2007,0.289577383,0.109023795,0.338034188,0.104062006,0.405558174
08-01-2007,0.298960551,0.10882138,0.332093586,0.10411004,0.405529782
09-01-2007,0.298900203,0.10874281,0.33159732,0.10429027,0.402042882
10-01-2007,0.288796522,0.10880613,0.330957891,0.10455114,0.418388097
11-01-2007,0.337691957,0.10867915,0.314148975,0.10522685,0.418927078
12-01-2007,0.338034188,0.10885165,0.316703259,0.106232665,0.453299948
15-01-2007,0.332093586,0.10908222,0.323391948,0.107304715,0.453101637
16-01-2007,0.33159732,0.10952894,0.323830372,0.10847239,0.373637606
17-01-2007,0.330957891,0.11042862,0.330226333,0.10969007,0.369938967
18-01-2007,0.314148975,0.11061485,0.334631867,0.11090163,0.35389214
19-01-2007,0.316703259,0.11112322,0.338040935,0.11203655,0.361629825
22-01-2007,0.323391948,0.1126851,0.352806153,0.11303667,0.370759884
23-01-2007,0.323830372,0.1128787,0.355365986,0.11429586,0.370200408
24-01-2007,0.330226333,0.11280928,0.358022148,0.115899384,0.381842861
25-01-2007,0.334631867,0.11293048,0.364704472,0.1177356,0.372749965
29-01-2007,0.338040935,0.112394944,0.384367094,0.11956026,0.378170743
30-01-2007,0.352806153,0.11237927,0.380272577,0.12128103,0.387340605
31-01-2007,0.355365986,0.11260287,0.405558174,0.12187227,0.387081794
01-02-2007,0.358022148,0.11243589,0.405529782,0.1219425,0.373729831
02-02-2007,0.364704472,0.112458035,0.402042882,0.12123895,0.374313691
05-02-2007,0.384367094,0.11239521,0.418388097,0.11969118,0.378417525
06-02-2007,0.380272577,0.112659715,0.418927078,0.118163265,0.382729055
07-02-2007,0.405558174,0.11420057,0.453299948,0.1167765,0.385533904
08-02-2007,0.405529782,0.113821074,0.453101637,0.115651205,0.393346895
09-02-2007,0.402042882,0.11399464,0.373637606,0.11471045,0.373088979
12-02-2007,0.418388097,0.11447568,0.369938967,0.11397581,0.375462203
13-02-2007,0.418927078,0.11862214,0.35389214,0.113319136,0.374461046
14-02-2007,0.453299948,0.11879051,0.361629825,0.11288233,0.402533885
15-02-2007,0.453101637,0.11722805,0.370759884,0.112717666,0.355847249
16-02-2007,0.373637606,0.11792114,0.370200408,0.112543024,0.354020668
19-02-2007,0.369938967,0.11876814,0.381842861,0.11215959,0.341966688
20-02-2007,0.35389214,0.118808076,0.372749965,0.111823045,0.338036527
21-02-2007,0.361629825,0.12110176,0.378170743,0.111282244,0.339347498
22-02-2007,0.370759884,0.1289208,0.387340605,0.11104057,0.333343972
23-02-2007,0.370200408,0.1303767,0.387081794,0.11174853,0.326642989
26-02-2007,0.381842861,0.12980673,0.373729831,0.112385176,0.321575837
27-02-2007,0.372749965,0.12843962,0.374313691,0.1125254,0.322026742
28-02-2007,0.378170743,0.12490027,0.378417525,0.112197,0.309671708
01-03-2007,0.387340605,0.11324229,0.382729055,0.11187609,0.31250116
02-03-2007,0.387081794,0.11291472,0.385533904,0.11134024,0.312235103
05-03-2007,0.373729831,0.11232345,0.393346895,0.11085638,0.310594205
06-03-2007,0.374313691,0.11121553,0.373088979,0.11042501,0.305215632
07-03-2007,0.378417525,0.112875976,0.375462203,0.10960825,0.277766533
08-03-2007,0.382729055,0.11282234,0.374461046,0.108720705,0.267839519
09-03-2007,0.385533904,0.11312918,0.402533885,0.10781819,0.282674432
12-03-2007,0.393346895,0.11359237,0.355847249,0.10691192,0.270639058
13-03-2007,0.373088979,0.11379049,0.354020668,0.10619955,0.250603021
14-03-2007,0.375462203,0.11396515,0.341966688,0.10558204,0.27198208
15-03-2007,0.374461046,0.114800945,0.338036527,0.10569789,0.258227713
16-03-2007,0.402533885,0.11824991,0.339347498,0.106463835,0.257779639
19-03-2007,0.355847249,0.11845257,0.333343972,0.108534195,0.262041754
20-03-2007,0.354020668,0.1184577,0.326642989,0.11181784,0.264786665
21-03-2007,0.341966688,0.11611531,0.321575837,0.11501776,0.264179387
22-03-2007,0.338036527,0.11657022,0.322026742,0.11799441,0.246125811
23-03-2007,0.339347498,0.11850097,0.309671708,0.12064569,0.241928621
26-03-2007,0.333343972,0.11790693,0.31250116,0.123128556,0.256783329
27-03-2007,0.326642989,0.11297381,0.312235103,0.1256047,0.260074587
28-03-2007,0.321575837,0.11288903,0.310594205,0.1275712,0.23183488
29-03-2007,0.322026742,0.11360569,0.305215632,0.12887815,0.235223396
30-03-2007,0.309671708,0.11359302,0.277766533,0.12976624,0.237673056
02-04-2007,0.31250116,0.11256979,0.267839519,0.13062666,0.24453462
03-04-2007,0.312235103,0.11209576,0.282674432,0.13142577,0.237502196
04-04-2007,0.310594205,0.11174238,0.270639058,0.13155171,0.238714284
05-04-2007,0.305215632,0.10909823,0.250603021,0.13068333,0.238180348
06-04-2007,0.277766533,0.11022893,0.27198208,0.1293042,0.246386653
09-04-2007,0.267839519,0.11097698,0.258227713,0.12777482,0.22455306
10-04-2007,0.282674432,0.11181859,0.257779639,0.12617575,0.226893457
11-04-2007,0.270639058,0.11486995,0.262041754,0.12475047,0.249057787
