,Volatility_Copper_True_LSTM_GARCH_train,Volatility_Copper_5_train_GARCH_LSTM,Volatility_Copper_5_train_real_GARCH_LSTM,Volatility_Copper_22_train_GARCH_LSTM,Volatility_Copper_22_train_real_GARCH_LSTM
2006-05-15,0.360673463787912,0.44124547,0.5456239110909469,0.7460711,0.8265426235741188
2006-05-16,0.3868612133720172,0.49324983,0.545129020863527,0.7601725,0.828048716038859
2006-05-17,0.3909233219034205,0.5208713,0.6688746195849158,0.76974505,0.8257165138725348
2006-05-18,0.46059132177243334,0.59221303,0.72589859963746,0.7725304,0.8315388532962577
2006-05-19,0.4555178708470978,0.6551504,0.7266717583084926,0.7758508,0.8480563226937106
2006-05-22,0.5456239110909469,0.6833673,0.7285971929450658,0.783635,0.8393958759825156
2006-05-23,0.545129020863527,0.69359803,0.728059717035294,0.7844881,0.8326365431190212
2006-05-24,0.6688746195849158,0.6954867,0.7427761004084168,0.7795997,0.7870331155903002
2006-05-25,0.72589859963746,0.70360005,0.7423391977159086,0.7564751,0.8133949315407865
2006-05-26,0.7266717583084926,0.70676833,0.7720843116704128,0.75210834,0.8202766124944777
2006-05-29,0.7285971929450658,0.72410023,0.778182932422436,0.7529202,0.8221691920555976
2006-05-30,0.728059717035294,0.73411226,0.7776512042229005,0.7540937,0.8145195283953567
2006-05-31,0.7427761004084168,0.73669374,0.7848477341794392,0.75128174,0.8180646236280656
2006-06-01,0.7423391977159086,0.7411814,0.7577519602971666,0.75074226,0.7747140057228206
2006-06-02,0.7720843116704128,0.72723466,0.7940075289700729,0.7318836,0.7758873980340835
2006-06-05,0.778182932422436,0.74187475,0.7869174430915122,0.719741,0.6303959248899464
2006-06-06,0.7776512042229005,0.7448207,0.786021064683685,0.6510928,0.5887657443266504
2006-06-07,0.7848477341794392,0.7442841,0.8265426235741188,0.59247017,0.6343309759843648
2006-06-08,0.7577519602971666,0.7668597,0.828048716038859,0.57551634,0.6275376013348367
2006-06-09,0.7940075289700729,0.7758843,0.8257165138725348,0.5644077,0.6288670678138506
2006-06-12,0.7869174430915122,0.77686685,0.8315388532962577,0.55864483,0.6228325896245358
2006-06-13,0.786021064683685,0.78000534,0.8480563226937106,0.55382407,0.6227795880411782
2006-06-14,0.8265426235741188,0.7904396,0.8393958759825156,0.5515884,0.5932423013603394
2006-06-15,0.828048716038859,0.7889603,0.8326365431190212,0.5401548,0.5832906876215206
2006-06-16,0.8257165138725348,0.7840459,0.7870331155903002,0.52906466,0.5957631453748669
2006-06-19,0.8315388532962577,0.7556844,0.8133949315407865,0.5279832,0.5840942547555908
2006-06-20,0.8480563226937106,0.76034063,0.8202766124944777,0.5244972,0.5764347791400717
2006-06-21,0.8393958759825156,0.7689689,0.8221691920555976,0.5199805,0.5643365781127021
2006-06-22,0.8326365431190212,0.77266777,0.8145195283953567,0.5130177,0.5611957975900098
2006-06-23,0.7870331155903002,0.7692456,0.8180646236280656,0.50820345,0.5626467319461429
2006-06-26,0.8133949315407865,0.76964825,0.7747140057228206,0.50625837,0.49771749523554865
2006-06-27,0.8202766124944777,0.744974,0.7758873980340835,0.48003158,0.49734506907497156
2006-06-28,0.8221691920555976,0.7359627,0.6303959248899464,0.46140617,0.46661092769371615
2006-06-29,0.8145195283953567,0.6523169,0.5887657443266504,0.438718,0.4636856277238388
2006-06-30,0.8180646236280656,0.58599395,0.6343309759843648,0.42285138,0.42774062079155384
2006-07-03,0.7747140057228206,0.58919203,0.6275376013348367,0.4010562,0.4280586502586714
2006-07-04,0.7758873980340835,0.6026044,0.6288670678138506,0.38628918,0.42881427476199063
2006-07-05,0.6303959248899464,0.6085292,0.6228325896245358,0.37951213,0.4294612574469576
2006-07-06,0.5887657443266504,0.6059426,0.6227795880411782,0.37689507,0.4173608889487571
2006-07-07,0.6343309759843648,0.60412055,0.5932423013603394,0.372016,0.4086519990751002
2006-07-10,0.6275376013348367,0.58714056,0.5832906876215206,0.36640596,0.3730413966024063
2006-07-11,0.6288670678138506,0.57266724,0.5957631453748669,0.35019952,0.3680289828621385
2006-07-12,0.6228325896245358,0.5751054,0.5840942547555908,0.3363009,0.37643882462942924
2006-07-13,0.6227795880411782,0.5718771,0.5764347791400717,0.33072156,0.4042209612442369
2006-07-14,0.5932423013603394,0.5653786,0.5643365781127021,0.34004182,0.4061024129016575
2006-07-17,0.5832906876215206,0.5558452,0.5611957975900098,0.3513628,0.4116327857947224
2006-07-18,0.5957631453748669,0.54966015,0.5626467319461429,0.36257297,0.43228491252200607
2006-07-19,0.5840942547555908,0.548994,0.49771749523554865,0.37932086,0.3714223158741743
2006-07-20,0.5764347791400717,0.51394826,0.49734506907497156,0.36711085,0.37568420736595753
2006-07-21,0.5643365781127021,0.49201345,0.46661092769371615,0.35592157,0.37486520373323795
2006-07-24,0.5611957975900098,0.46947542,0.4636856277238388,0.34760946,0.36927911957902226
2006-07-25,0.5626467319461429,0.45841545,0.42774062079155384,0.34026805,0.3693953142513904
2006-07-26,0.49771749523554865,0.43744993,0.4280586502586714,0.33598375,0.36984142269706066
2006-07-27,0.49734506907497156,0.42476216,0.42881427476199063,0.3338867,0.3661763950551815
2006-07-28,0.46661092769371615,0.4223605,0.4294612574469576,0.33188996,0.35673151282505644
2006-07-31,0.4636856277238388,0.4234684,0.4173608889487571,0.32721114,0.35732047346213036
2006-08-01,0.42774062079155384,0.41816735,0.4086519990751002,0.32406738,0.3748658340521066
2006-08-02,0.4280586502586714,0.4094518,0.3730413966024063,0.3291879,0.31865959940553246
