,Volatility_Copper_True_train,Volatility_Copper_5_train_LSTM,Volatility_Copper_5_train_real_LSTM,Volatility_Copper_22_train_LSTM,Volatility_Copper_22_train_real_LSTM
2006-05-15,0.360673463787912,0.39377168,0.5456239110909469,0.6842057,0.8265426235741188
2006-05-16,0.3868612133720172,0.4289958,0.545129020863527,0.6910531,0.828048716038859
2006-05-17,0.3909233219034205,0.4591199,0.6688746195849158,0.69897425,0.8257165138725348
2006-05-18,0.46059132177243334,0.5076473,0.72589859963746,0.70425206,0.8315388532962577
2006-05-19,0.4555178708470978,0.5570198,0.7266717583084926,0.7083389,0.8480563226937106
2006-05-22,0.5456239110909469,0.6054885,0.7285971929450658,0.7141745,0.8393958759825156
2006-05-23,0.545129020863527,0.6324533,0.728059717035294,0.71703845,0.8326365431190212
2006-05-24,0.6688746195849158,0.64866084,0.7427761004084168,0.71603,0.7870331155903002
2006-05-25,0.72589859963746,0.6623074,0.7423391977159086,0.7034496,0.8133949315407865
2006-05-26,0.7266717583084926,0.6630018,0.7720843116704128,0.6955382,0.8202766124944777
2006-05-29,0.7285971929450658,0.6806379,0.778182932422436,0.69231117,0.8221691920555976
2006-05-30,0.728059717035294,0.6877071,0.7776512042229005,0.69123954,0.8145195283953567
2006-05-31,0.7427761004084168,0.690334,0.7848477341794392,0.68932164,0.8180646236280656
2006-06-01,0.7423391977159086,0.696997,0.7577519602971666,0.68850833,0.7747140057228206
2006-06-02,0.7720843116704128,0.6833849,0.7940075289700729,0.67868793,0.7758873980340835
2006-06-05,0.778182932422436,0.7049285,0.7869174430915122,0.66865647,0.6303959248899464
2006-06-06,0.7776512042229005,0.7018792,0.786021064683685,0.6240153,0.5887657443266504
2006-06-07,0.7848477341794392,0.7013547,0.8265426235741188,0.5697234,0.6343309759843648
2006-06-08,0.7577519602971666,0.72176296,0.828048716038859,0.5376327,0.6275376013348367
2006-06-09,0.7940075289700729,0.73010874,0.8257165138725348,0.5201787,0.6288670678138506
2006-06-12,0.7869174430915122,0.7309745,0.8315388532962577,0.51257217,0.6228325896245358
2006-06-13,0.786021064683685,0.7371367,0.8480563226937106,0.510033,0.6227795880411782
2006-06-14,0.8265426235741188,0.7501567,0.8393958759825156,0.510399,0.5932423013603394
2006-06-15,0.828048716038859,0.74627197,0.8326365431190212,0.50510997,0.5832906876215206
2006-06-16,0.8257165138725348,0.7425666,0.7870331155903002,0.4970023,0.5957631453748669
2006-06-19,0.8315388532962577,0.71418685,0.8133949315407865,0.49324924,0.5840942547555908
2006-06-20,0.8480563226937106,0.7278784,0.8202766124944777,0.49009404,0.5764347791400717
2006-06-21,0.8393958759825156,0.73272383,0.8221691920555976,0.48635474,0.5643365781127021
2006-06-22,0.8326365431190212,0.7318181,0.8145195283953567,0.48085713,0.5611957975900098
2006-06-23,0.7870331155903002,0.7253251,0.8180646236280656,0.47554225,0.5626467319461429
2006-06-26,0.8133949315407865,0.7298833,0.7747140057228206,0.4723932,0.49771749523554865
2006-06-27,0.8202766124944777,0.70288783,0.7758873980340835,0.45642543,0.49734506907497156
2006-06-28,0.8221691920555976,0.7008478,0.6303959248899464,0.43889847,0.46661092769371615
2006-06-29,0.8145195283953567,0.61285734,0.5887657443266504,0.4183225,0.4636856277238388
2006-06-30,0.8180646236280656,0.517709,0.6343309759843648,0.40095645,0.42774062079155384
2006-07-03,0.7747140057228206,0.5345168,0.6275376013348367,0.38232064,0.4280586502586714
2006-07-04,0.7758873980340835,0.5755307,0.6288670678138506,0.36728543,0.42881427476199063
2006-07-05,0.6303959248899464,0.5659616,0.6228325896245358,0.3573168,0.4294612574469576
2006-07-06,0.5887657443266504,0.56219614,0.6227795880411782,0.35238126,0.4173608889487571
2006-07-07,0.6343309759843648,0.5647469,0.5932423013603394,0.34887472,0.4086519990751002
2006-07-10,0.6275376013348367,0.5477319,0.5832906876215206,0.34547272,0.3730413966024063
2006-07-11,0.6288670678138506,0.5331928,0.5957631453748669,0.33621168,0.3680289828621385
2006-07-12,0.6228325896245358,0.53742254,0.5840942547555908,0.3257168,0.37643882462942924
2006-07-13,0.6227795880411782,0.53431064,0.5764347791400717,0.3183813,0.4042209612442369
2006-07-14,0.5932423013603394,0.52577025,0.5643365781127021,0.31934506,0.4061024129016575
2006-07-17,0.5832906876215206,0.51695544,0.5611957975900098,0.3255321,0.4116327857947224
2006-07-18,0.5957631453748669,0.51166373,0.5626467319461429,0.33458057,0.43228491252200607
2006-07-19,0.5840942547555908,0.51117665,0.49771749523554865,0.3475941,0.3714223158741743
2006-07-20,0.5764347791400717,0.4770589,0.49734506907497156,0.34711057,0.37568420736595753
2006-07-21,0.5643365781127021,0.44096738,0.46661092769371615,0.34126425,0.37486520373323795
2006-07-24,0.5611957975900098,0.4336093,0.4636856277238388,0.33397058,0.36927911957902226
2006-07-25,0.5626467319461429,0.41708097,0.42774062079155384,0.32654756,0.3693953142513904
2006-07-26,0.49771749523554865,0.40291563,0.4280586502586714,0.32060882,0.36984142269706066
2006-07-27,0.49734506907497156,0.38292655,0.42881427476199063,0.3167192,0.3661763950551815
2006-07-28,0.46661092769371615,0.38735327,0.4294612574469576,0.31412905,0.35673151282505644
