,Volatility_Copper_True_train,Volatility_Copper_3_train_LSTM
2006-05-15,0.360673463787912,0.37649515
2006-05-16,0.3868612133720172,0.42375183
2006-05-17,0.3909233219034205,0.43237805
2006-05-18,0.46059132177243334,0.49371544
2006-05-19,0.4555178708470978,0.5090325
2006-05-22,0.5456239110909469,0.586259
2006-05-23,0.545129020863527,0.63989675
2006-05-24,0.6688746195849158,0.66029936
2006-05-25,0.72589859963746,0.6665987
2006-05-26,0.7266717583084926,0.66629523
2006-05-29,0.7285971929450658,0.67557675
2006-05-30,0.728059717035294,0.6762083
2006-05-31,0.7427761004084168,0.69456327
2006-06-01,0.7423391977159086,0.7008985
2006-06-02,0.7720843116704128,0.70323646
2006-06-05,0.778182932422436,0.7080441
2006-06-06,0.7776512042229005,0.6883148
2006-06-07,0.7848477341794392,0.71157974
2006-06-08,0.7577519602971666,0.70820755
2006-06-09,0.7940075289700729,0.7103341
2006-06-12,0.7869174430915122,0.73228455
2006-06-13,0.786021064683685,0.7365374
2006-06-14,0.8265426235741188,0.738419
2006-06-15,0.828048716038859,0.7417248
2006-06-16,0.8257165138725348,0.75098413
2006-06-19,0.8315388532962577,0.74745953
2006-06-20,0.8480563226937106,0.7442639
2006-06-21,0.8393958759825156,0.7102282
2006-06-22,0.8326365431190212,0.7287735
2006-06-23,0.7870331155903002,0.73140574
2006-06-26,0.8133949315407865,0.7350424
2006-06-27,0.8202766124944777,0.73069966
2006-06-28,0.8221691920555976,0.7329899
2006-06-29,0.8145195283953567,0.7005804
2006-06-30,0.8180646236280656,0.7050767
2006-07-03,0.7747140057228206,0.59149396
2006-07-04,0.7758873980340835,0.55209094
2006-07-05,0.6303959248899464,0.58669674
2006-07-06,0.5887657443266504,0.58309525
2006-07-07,0.6343309759843648,0.58812153
2006-07-10,0.6275376013348367,0.58283675
2006-07-11,0.6288670678138506,0.5831088
2006-07-12,0.6228325896245358,0.5592057
2006-07-13,0.6227795880411782,0.55216247
2006-07-14,0.5932423013603394,0.5599963
2006-07-17,0.5832906876215206,0.55002993
2006-07-18,0.5957631453748669,0.5451234
2006-07-19,0.5840942547555908,0.5348352
2006-07-20,0.5764347791400717,0.53205854
2006-07-21,0.5643365781127021,0.53248537
2006-07-24,0.5611957975900098,0.4812254
2006-07-25,0.5626467319461429,0.4767642
2006-07-26,0.49771749523554865,0.4514443
2006-07-27,0.49734506907497156,0.4479085
2006-07-28,0.46661092769371615,0.41773424
2006-07-31,0.4636856277238388,0.41502142
2006-08-01,0.42774062079155384,0.41425914
2006-08-02,0.4280586502586714,0.41481933
2006-08-03,0.42881427476199063,0.40529665
2006-08-04,0.4294612574469576,0.39794484
2006-08-07,0.4173608889487571,0.3689352
2006-08-08,0.4086519990751002,0.35994503
2006-08-09,0.3730413966024063,0.36540198
2006-08-10,0.3680289828621385,0.3856462
2006-08-11,0.37643882462942924,0.39065343
2006-08-14,0.4042209612442369,0.39781725
2006-08-16,0.4061024129016575,0.4138522
2006-08-17,0.4116327857947224,0.36907187
2006-08-18,0.43228491252200607,0.36430103
2006-08-21,0.3714223158741743,0.36439222
2006-08-22,0.37568420736595753,0.36035228
2006-08-23,0.37486520373323795,0.36002234
2006-08-24,0.36927911957902226,0.35992658
2006-08-25,0.3693953142513904,0.35705894
2006-08-28,0.36984142269706066,0.34945136
2006-08-29,0.3661763950551815,0.34894583
2006-08-30,0.35673151282505644,0.3619763
2006-08-31,0.35732047346213036,0.3214221
2006-09-01,0.3748658340521066,0.29924792
2006-09-04,0.31865959940553246,0.31574088
2006-09-05,0.3039308588474092,0.31417328
2006-09-06,0.326599595362548,0.31833977
2006-09-07,0.3229466027685476,0.32499278
2006-09-08,0.32576231372552145,0.34467536
2006-09-11,0.33428962831281117,0.3488539
2006-09-12,0.3597721286883224,0.34958792
2006-09-13,0.3607656389180226,0.34962076
2006-09-14,0.3584556455671184,0.34586737
2006-09-15,0.35854366215527766,0.3392382
2006-09-18,0.35402828388708585,0.33925447
2006-09-19,0.34600298107053196,0.3386332
2006-09-20,0.3472334932435749,0.32751906
2006-09-21,0.3471714344215113,0.31865966
2006-09-22,0.3329222583496736,0.29438305
2006-09-25,0.3234916662408309,0.2840559
2006-09-26,0.29306491082114494,0.2797079
2006-09-27,0.2889126275021132,0.26353627
2006-09-28,0.2839885299424256,0.24951372
2006-09-29,0.26320500071365716,0.269401
2006-10-03,0.2508394536218763,0.28295392
2006-10-04,0.281840384081374,0.30332917
2006-10-05,0.29408198874148994,0.315494
2006-10-06,0.31546557654196605,0.31928143
2006-10-09,0.32682396018056714,0.32147488
2006-10-10,0.3279483301935794,0.31804553
2006-10-11,0.3292357367495923,0.31849748
2006-10-12,0.3246206833821341,0.3025326
2006-10-13,0.32551595812381273,0.33113128
2006-10-16,0.30530613605122714,0.34728917
2006-10-17,0.35041206562752547,0.3280827
2006-10-18,0.36325483539445047,0.32098258
2006-10-19,0.3316434575167021,0.32103112
2006-10-20,0.3270498327570075,0.3157463
2006-10-23,0.3282375262444315,0.29067516
2006-10-24,0.3219206452042024,0.28066707
2006-10-25,0.2884189958900517,0.28078896
2006-10-26,0.2860294840432571,0.28034535
2006-10-27,0.2861983253312461,0.27873036
2006-10-30,0.28584084535172316,0.26264518
2006-10-31,0.2838195928383759,0.27352756
2006-11-01,0.2622699616838061,0.28065673
2006-11-02,0.28286512717577306,0.2810403
2006-11-03,0.2894445746661095,0.28140888
2006-11-06,0.2867602230257523,0.28271168
2006-11-07,0.28679406056827383,0.3031959
2006-11-08,0.2886827333181802,0.31328678
